Date,Open,High,Low,Close,Volume,Adj Close
2015-12-24,42.40,42.45,41.91,42.105,1132000,41.495
2015-12-23,41.235,42.20,41.085,42.115,8170500,41.50486
2015-12-22,40.70,41.05,40.44,40.815,6345500,40.22369
2015-12-21,41.095,41.91,40.725,40.725,8194100,40.13499
2015-12-18,41.37,42.35,41.345,42.01,14561000,40.80021
2015-12-17,43.00,43.025,41.765,41.90,8814200,40.69338
2015-12-16,42.43,42.80,41.935,42.075,7557100,40.86334
2015-12-15,41.12,42.53,41.085,42.285,9987200,41.06729
2015-12-14,41.735,42.30,40.565,40.58,11536800,39.4114
2015-12-11,42.715,42.91,41.57,41.80,8523600,40.59626
2015-12-10,42.72,43.625,42.605,43.08,7648600,41.8394
2015-12-09,42.60,43.78,42.035,42.825,8579600,41.59174
2015-12-08,42.505,43.00,41.63,42.43,10704600,41.20812
2015-12-07,43.355,43.555,42.52,42.84,9021800,41.60631
2015-12-04,44.15,45.085,43.125,43.455,12401100,42.2036
2015-12-03,46.30,47.16,44.465,44.465,15093600,43.18452
2015-12-02,46.515,47.40,46.515,46.65,6642800,45.30659
2015-12-01,46.885,47.15,46.615,46.79,6446600,45.44256
2015-11-30,46.01,47.295,45.935,47.00,7587100,45.64651
2015-11-27,46.525,47.14,46.47,46.62,5184900,45.27746
2015-11-26,46.00,47.25,45.90,47.03,5331100,45.67565
2015-11-25,46.13,46.75,45.96,46.35,5699200,45.01523
2015-11-24,45.385,46.195,45.15,46.085,6100700,44.75786
2015-11-23,45.795,46.15,45.205,45.765,6338200,44.44708
2015-11-20,46.44,46.89,46.12,46.255,7070600,44.92297
2015-11-19,46.99,47.23,46.225,46.60,5982300,45.25803
2015-11-18,45.96,46.97,45.855,46.66,5567600,45.31631
2015-11-17,45.60,46.465,45.365,46.455,7124700,45.11721
2015-11-16,44.185,45.455,44.125,44.775,5249400,43.48559
2015-11-13,44.60,45.30,43.815,44.435,5776600,43.15538
2015-11-12,45.865,46.175,44.87,44.935,6456800,43.64098
2015-11-11,46.04,46.525,45.695,46.04,3835100,44.71416
2015-11-10,46.145,46.40,45.685,46.015,4348600,44.68988
2015-11-09,46.18,46.92,45.92,45.92,4312600,44.59761
2015-11-06,46.215,46.62,45.90,46.235,5579500,44.90355
2015-11-05,46.215,46.475,45.58,46.13,5601700,44.80157
2015-11-04,46.37,47.16,46.14,46.295,7931300,44.96181
2015-11-03,44.755,46.24,44.31,46.24,8457000,44.9084
2015-11-02,43.72,44.755,43.66,44.62,5501500,43.33505
2015-10-30,44.615,44.745,43.70,44.145,6929100,42.87373
2015-10-29,45.00,45.18,43.33,44.33,7715400,43.05341
2015-10-28,43.925,44.69,43.435,44.01,8010300,42.74262
2015-10-27,44.39,44.60,43.21,43.64,7644800,42.38327
2015-10-26,45.385,45.59,44.28,44.615,7946000,43.3302
2015-10-23,45.90,46.075,45.235,45.50,9834800,44.18971
2015-10-22,44.66,45.54,44.525,45.365,8676900,44.0586
2015-10-21,44.785,45.285,44.26,44.91,5492100,43.6167
2015-10-20,44.80,44.88,43.95,44.55,5459600,43.26707
2015-10-19,45.525,45.785,44.59,44.965,5357000,43.67012
2015-10-16,45.65,46.00,45.32,45.60,5960100,44.28683
2015-10-15,45.35,45.505,44.935,45.115,5773200,43.8158
2015-10-14,44.40,45.30,44.125,44.635,5615700,43.34962
2015-10-13,44.84,45.15,43.89,44.91,7148400,43.6167
2015-10-12,45.26,45.62,44.79,45.15,5182000,43.84979
2015-10-09,45.935,46.395,45.085,45.25,8366800,43.94691
2015-10-08,45.37,45.68,44.85,45.34,6359700,44.03432
2015-10-07,44.805,46.44,44.70,45.40,13138300,44.09259
2015-10-06,43.155,44.78,42.395,44.405,9263300,43.12624
2015-10-05,42.255,43.49,42.045,42.975,10302800,41.73742
2015-10-02,40.745,41.895,40.505,41.25,8129800,40.0621
2015-10-01,40.75,41.645,40.255,40.375,8830300,39.2123
2015-09-30,39.89,40.325,39.655,40.20,8586500,39.04234
2015-09-29,38.20,39.455,38.195,39.185,8187700,38.05657
2015-09-28,39.85,40.25,38.23,38.765,8222800,37.64866
2015-09-25,40.105,41.07,40.01,40.385,8943100,38.62957
2015-09-24,40.53,40.62,39.395,39.605,10538800,37.88348
2015-09-23,39.585,40.975,39.37,40.625,8823000,38.85914
2015-09-22,41.02,41.02,39.215,39.76,9981900,38.03174
2015-09-21,40.34,41.365,40.34,40.82,6043200,39.04567
2015-09-18,41.47,41.605,40.325,40.775,16138300,39.00263
2015-09-17,42.175,42.66,41.835,41.99,5677000,40.16481
2015-09-16,41.14,42.295,41.005,42.13,6116500,40.29873
2015-09-15,39.72,41.16,39.60,40.985,8179100,39.2035
2015-09-14,39.205,40.15,39.20,39.765,5563700,38.03653
2015-09-11,40.32,40.65,39.645,39.69,6124600,37.96478
2015-09-10,39.89,40.685,39.76,39.945,6352200,38.2087
2015-09-09,41.035,41.495,40.705,40.71,6356400,38.94045
2015-09-08,39.905,40.87,39.905,40.365,5102700,38.61045
2015-09-07,39.97,40.48,39.79,39.97,3062400,38.23262
2015-09-04,41.095,41.135,39.66,39.96,7763500,38.22305
2015-09-03,40.50,41.93,40.50,41.44,7516000,39.63872
2015-09-02,39.975,40.835,39.505,40.06,6940600,38.3187
2015-09-01,40.905,41.82,40.01,40.41,10637500,38.65349
2015-08-31,40.595,40.87,40.11,40.805,5722900,39.03132
2015-08-28,40.50,41.43,40.305,41.18,8165700,39.39002
2015-08-27,38.21,40.40,38.015,40.18,13040600,38.43349
2015-08-26,37.925,39.045,37.52,37.705,12268100,36.06607
2015-08-25,38.95,39.695,38.285,39.095,14255700,37.39565
2015-08-24,39.04,40.15,36.92,37.835,18470100,36.19042
2015-08-21,42.00,42.585,41.08,41.08,9271800,39.29437
2015-08-20,42.75,43.13,42.35,42.55,6752000,40.70047
2015-08-19,43.415,43.575,42.88,42.965,5412600,41.09743
2015-08-18,44.255,44.48,43.65,43.75,4519900,41.84831
2015-08-17,44.38,44.66,43.87,44.485,6242100,42.55136
2015-08-14,44.25,44.63,43.905,44.00,4402200,42.08744
2015-08-13,45.47,45.80,44.225,44.38,5593400,42.45093
2015-08-12,45.27,45.40,44.22,44.535,9133600,42.59919
2015-08-11,45.94,46.365,45.42,45.505,6238300,43.52703
2015-08-10,45.825,45.99,45.13,45.89,4528400,43.89529
2015-08-07,45.52,46.50,45.415,45.795,6765500,43.80442
2015-08-06,45.17,45.47,44.94,45.295,3808000,43.32615
2015-08-05,44.74,45.79,44.645,45.465,6061400,43.48876
2015-08-04,44.615,44.795,44.225,44.65,4990900,42.70919
2015-08-03,44.905,45.265,44.62,44.95,5890000,42.99615
2015-07-31,44.96,45.155,44.535,45.075,7461800,43.11572
2015-07-30,44.675,45.72,44.535,44.96,7191200,43.00571
2015-07-29,44.08,44.50,43.30,44.315,6489900,42.38875
2015-07-28,43.22,43.25,42.765,43.215,5997000,41.33656
2015-07-27,43.95,43.99,42.905,42.98,7925200,41.11178
2015-07-24,44.65,45.065,44.075,44.245,4781400,42.32179
2015-07-23,44.865,44.94,44.30,44.63,3896600,42.69006
2015-07-22,44.935,45.155,44.55,44.63,5008100,42.69006
2015-07-21,45.595,45.815,45.21,45.435,4465400,43.46007
2015-07-20,45.795,46.29,45.36,45.665,3520700,43.68007
2015-07-17,45.915,46.105,45.475,45.64,4987600,43.65616
2015-07-16,45.45,46.18,45.095,45.74,6016500,43.75181
2015-07-15,45.145,45.48,45.00,45.25,5499900,43.28311
2015-07-14,44.50,45.18,44.26,45.10,5751200,43.13963
2015-07-13,45.29,45.425,44.315,44.675,6831200,42.7331
2015-07-10,44.405,44.985,43.915,44.345,7477000,42.41745
2015-07-09,42.45,43.595,42.155,43.305,5878300,41.42265
2015-07-08,41.97,42.565,41.885,42.245,7107800,40.40873
2015-07-07,42.80,42.975,41.985,42.005,10873800,40.17916
2015-07-06,42.655,43.37,42.60,42.90,10371700,41.03526
2015-07-03,44.00,44.015,42.95,43.785,7570900,41.88179
2015-07-02,44.00,44.405,43.695,43.905,5163200,41.99657
2015-07-01,44.23,44.97,43.56,43.89,8434800,41.98222
2015-06-30,44.44,44.53,43.57,43.57,11073600,41.67613
2015-06-29,44.54,45.405,44.32,44.64,9039500,42.69962
2015-06-26,46.00,46.88,45.765,46.42,5911700,44.40225
2015-06-25,46.09,46.945,46.005,46.445,6488500,44.42616
2015-06-24,46.15,46.67,45.915,46.51,7838900,44.48834
2015-06-23,45.90,46.26,45.605,46.045,5888900,44.04355
2015-06-22,45.275,45.64,44.675,45.42,8973100,43.44572
2015-06-19,44.195,44.54,43.89,44.125,12974900,42.20701
2015-06-18,44.205,44.39,43.805,44.30,6247300,42.3744
2015-06-17,43.905,44.745,43.78,44.39,8194500,42.46049
2015-06-16,43.615,44.035,43.285,43.905,6578100,41.99657
2015-06-15,44.08,44.58,43.58,43.885,6100400,41.97744
2015-06-12,45.785,45.785,44.03,44.56,6203200,42.6231
2015-06-11,45.085,45.805,44.90,45.40,6671100,43.42659
2015-06-10,43.905,45.32,43.835,45.025,7390100,43.06789
2015-06-09,44.125,44.23,43.325,44.08,7100300,42.16397
2015-06-08,44.945,44.95,44.10,44.185,6439500,42.2644
2015-06-05,45.11,45.85,44.76,45.555,7017000,42.99137
2015-06-04,45.885,46.235,45.13,45.50,7276000,42.93946
2015-06-03,46.325,46.68,45.85,46.375,4944700,43.76522
2015-06-02,46.215,46.625,45.50,46.155,6074700,43.5576
2015-06-01,46.44,46.44,45.67,46.00,5105500,43.41132
2015-05-29,46.945,47.15,45.975,45.975,7748500,43.38773
2015-05-28,47.005,47.185,46.30,46.925,5076300,44.28427
2015-05-27,46.90,47.605,46.595,47.40,6366700,44.73254
2015-05-26,47.30,47.70,46.54,46.825,5516100,44.1899
2015-05-25,47.80,47.85,47.45,47.545,758500,44.86937
2015-05-22,48.105,48.445,47.62,47.73,4782700,45.04396
2015-05-21,47.17,47.99,47.17,47.82,4476900,45.1289
2015-05-20,46.905,47.45,46.76,47.40,4179100,44.73254
2015-05-19,47.00,47.72,47.00,47.305,7263200,44.64288
2015-05-18,46.43,46.95,46.205,46.67,5207500,44.04362
2015-05-15,47.095,47.195,46.17,46.47,7154700,43.85487
2015-05-14,46.52,47.505,46.245,47.335,4324600,44.67119
2015-05-13,47.025,47.895,46.825,47.03,6361500,44.38336
2015-05-12,46.75,47.13,46.445,46.98,6835400,44.33617
2015-05-11,47.755,48.095,47.31,47.515,5219100,44.84106
2015-05-08,46.78,48.00,46.345,48.00,8173500,45.29877
2015-05-07,47.365,47.365,46.25,46.765,10745600,44.13327
2015-05-06,47.44,48.05,47.365,47.845,8377900,45.15249
2015-05-05,47.985,48.265,47.625,47.675,11271300,44.99206
2015-05-04,48.00,48.91,47.795,48.13,5567100,45.42146
2015-05-01,48.485,48.485,48.485,48.485,000,45.75648
2015-04-30,48.52,48.86,47.975,48.485,9769600,45.75648
2015-04-29,49.99,50.12,47.985,48.435,9737900,45.70929
2015-04-28,50.00,50.30,49.37,49.68,9965400,46.88423
2015-04-27,47.87,49.36,47.37,49.17,7040500,46.40293
2015-04-24,48.755,48.99,47.70,48.005,5861600,45.30349
2015-04-23,48.305,48.60,47.595,48.415,6987800,45.69042
2015-04-22,48.86,48.905,47.565,48.425,7578500,45.69985
2015-04-21,49.675,49.74,48.655,48.695,5981900,45.95466
2015-04-20,48.965,49.40,48.61,49.38,4564800,46.60111
2015-04-17,49.18,49.635,48.475,48.87,10432700,46.11981
2015-04-16,49.85,49.95,49.21,49.31,6538100,46.53505
2015-04-15,48.89,49.965,48.82,49.74,7539500,46.94085
2015-04-14,48.585,48.95,48.21,48.73,6329400,45.98769
2015-04-13,48.515,48.97,48.37,48.76,5605500,46.016
2015-04-10,48.00,48.595,47.67,48.52,5457900,45.78951
2015-04-09,47.135,47.965,46.50,47.965,6463500,45.26574
2015-04-08,48.00,48.595,46.91,47.05,7678000,44.40223
2015-04-07,46.415,47.90,46.34,47.595,8326300,44.91656
2015-04-06,45.845,45.845,45.845,45.845,000,43.26505
2015-04-03,45.845,45.845,45.845,45.845,000,43.26505
2015-04-02,46.46,46.74,45.67,45.845,5540300,43.26505
2015-04-01,46.16,46.97,46.065,46.37,6961000,43.7605
2015-03-31,46.865,47.13,46.17,46.275,7320000,43.67085
2015-03-30,46.51,47.245,46.305,47.00,5479600,44.35505
2015-03-27,46.67,46.67,45.94,46.595,7335300,43.97284
2015-03-26,46.85,47.41,45.975,46.59,9107800,43.96812
2015-03-25,46.545,46.92,46.42,46.505,6156600,43.8879
2015-03-24,46.565,47.285,46.37,46.885,5720500,44.24652
2015-03-23,47.185,47.20,46.72,46.95,5856400,44.30786
2015-03-20,46.67,47.775,46.255,47.635,14032200,44.37864
2015-03-19,46.145,46.58,45.945,46.475,6671200,43.29794
2015-03-18,45.38,46.00,45.15,46.00,7094300,42.85541
2015-03-17,44.625,45.32,44.60,45.21,8321800,42.11942
2015-03-16,44.705,44.795,44.18,44.57,7105400,41.52317
2015-03-13,45.52,45.52,44.225,44.645,9363500,41.59304
2015-03-12,45.475,45.985,45.33,45.44,5547200,42.33369
2015-03-11,45.37,45.77,45.02,45.465,9491400,42.35698
2015-03-10,46.59,46.59,45.12,45.18,9560500,42.09147
2015-03-09,46.81,46.875,46.29,46.685,5691900,43.49359
2015-03-06,47.265,47.50,46.90,47.005,5904900,43.79171
2015-03-05,47.81,48.305,47.45,47.47,6273800,44.22492
2015-03-04,47.50,47.80,46.985,47.435,6428000,44.19231
2015-03-03,47.20,47.385,46.735,47.125,6328700,43.90351
2015-03-02,48.165,48.165,47.085,47.19,7258900,43.96406
2015-02-27,47.08,48.32,47.06,48.235,8536400,44.93763
2015-02-26,47.485,47.685,46.825,47.25,6517200,44.01996
2015-02-25,47.16,47.35,46.70,47.35,5193500,44.11312
2015-02-24,46.30,47.345,46.045,47.185,6679400,43.95941
2015-02-23,46.95,46.95,45.52,46.29,6447700,43.12559
2015-02-20,46.045,46.31,45.685,46.035,10946200,42.88802
2015-02-19,46.90,46.90,45.50,45.98,10911500,42.83678
2015-02-18,47.76,47.835,47.055,47.265,5353300,44.03393
2015-02-17,46.615,47.675,46.335,47.28,5555700,44.04791
2015-02-16,47.535,47.61,46.865,47.115,4463600,43.89419
2015-02-13,47.63,47.90,46.95,47.375,8390900,44.13642
2015-02-12,46.64,47.95,46.35,47.35,8904900,44.11312
2015-02-11,47.50,47.50,46.45,46.95,5168500,43.74047
2015-02-10,48.20,48.25,46.755,47.35,8192900,44.11312
2015-02-09,47.30,48.14,47.03,47.95,8108600,44.67211
2015-02-06,48.135,48.315,47.42,47.68,6062400,44.42057
2015-02-05,46.775,48.28,46.16,48.08,8210400,44.79322
2015-02-04,48.215,48.425,47.03,47.75,10298200,44.48578
2015-02-03,47.785,48.60,47.645,48.28,12043600,44.97955
2015-02-02,45.835,47.19,45.735,47.00,10847000,43.78705
